language,glottocode,family,prop,n_kintypes
Colombian Sign Language,colo1249,NA,0.5,20
Chipewyan,chip1261,NA,0.3541666666666667,48
Icari,icar1234,Nakh-Daghestanian,0.3333333333333333,48
Wirangu,wira1265,Pama-Nyungan,0.4090909090909091,44
Dieri,dier1241,Pama-Nyungan,0.4130434782608696,46
Plains Cree,plai1258,Algic,0.625,32
Kyaka,kyak1244,Nuclear Trans New Guinea,0.25,48
Yaka (Central African Republic),yaka1272,Atlantic-Congo,0.24444444444444444,45
Ahin-Kayapa Kalanguya,ahin1234,Austronesian,0.25,48
Eastern Yiddish,east2295,Indo-European,0.375,48
Madak linkage,mada1284,Austronesian,0.3870967741935484,31
Gusii,gusi1247,Atlantic-Congo,0.3333333333333333,36
Onondaga,onon1246,NA,0.46875,32
Macedonian,mace1250,Indo-European,0.4375,48
Amharic,amha1245,Afro-Asiatic,0.325,40
Ayoreo,ayor1240,NA,0.3958333333333333,48
Blagar,blag1240,NA,0.2647058823529412,34
Tsaangi,tsaa1242,Atlantic-Congo,0.4,5
Ura (Vanuatu),urav1235,Austronesian,0.4545454545454546,22
Ngaanyatjarra,ngaa1240,Pama-Nyungan,0.3333333333333333,48
MokshaMordvin,moks1248,Uralic,0.9411764705882352,17
Kalaallisut,kala1399,NA,0.5625,32
Termanu,term1237,Austronesian,0.5,40
Eastern Panjabi,panj1256,Indo-European,0.6666666666666666,48
Bila,bila1255,Atlantic-Congo,0.4166666666666667,48
Nepali,nepa1254,Indo-European,0.7714285714285715,35
Ding,ding1239,Atlantic-Congo,0.3333333333333333,48
Western Canadian Inuktitut,west2618,NA,0.6875,16
Moronene,moro1287,Austronesian,0.16666666666666666,48
Nage,nage1237,Austronesian,0.4375,32
Waiwai,waiw1244,Cariban,0.275,40
Sumbwa,sumb1240,Atlantic-Congo,0.7142857142857143,14
Muna,muna1247,Austronesian,0.22916666666666663,48
Paicî,paic1239,Austronesian,0.375,48
Nuclear Miami,nucl1653,Algic,0.5,32
Erzya,erzy1239,Uralic,0.6041666666666666,48
Fijian,fiji1243,Austronesian,0.3125,48
Hawaiian,hawa1245,Austronesian,0.3333333333333333,48
Wari',wari1268,NA,1,2
Northern Mansi,mans1258,Uralic,0.3333333333333333,48
Gros Ventre,gros1243,Algic,0.53125,32
Rahambuu,raha1237,Austronesian,0.3333333333333333,24
Bunun,bunu1267,Austronesian,0.36,25
Yalarnnga,yala1262,Pama-Nyungan,0.3333333333333333,48
Belarusian,bela1254,Indo-European,0.3333333333333333,48
Gogo,gogo1263,Atlantic-Congo,0.3695652173913043,46
Mayo,mayo1264,Uto-Aztecan,0.5384615384615384,13
Lau,lauu1247,Austronesian,0.3,30
Maranao,mara1404,Austronesian,0.25,36
Idi,nucl1597,NA,0.375,32
Fe'fe',fefe1239,Atlantic-Congo,0.5,30
Huasteca Nahuatl,huas1257,Uto-Aztecan,0.5,6
Mangaia,mang1402,Austronesian,0.34375,32
Ndumu,ndum1239,Atlantic-Congo,0.375,8
Pukapuka,puka1242,Austronesian,0.25,48
Yandruwandha,yand1253,Pama-Nyungan,0.4,40
Tamil,tami1289,Dravidian,0.75,48
Taliabu,tali1262,Austronesian,0.5625,32
Bagvalal,bagv1239,Nakh-Daghestanian,0.3958333333333333,48
Woiwurrung-Thagungwurrung,woiw1237,Pama-Nyungan,0.8461538461538461,13
Pangasinan,pang1290,Austronesian,0.2647058823529412,34
Eyak,eyak1241,NA,0.5483870967741935,31
Uab Meto,uabm1237,Austronesian,0.380952380952381,42
Mohawk,moha1258,NA,0.5,32
Mangareva,mang1401,Austronesian,0.2916666666666667,48
Tiv,tivv1240,Atlantic-Congo,0.20454545454545456,44
Kómnjo,komn1238,NA,0.25,48
Foi,foii1241,East Kutubu,0.3928571428571429,28
Kickapoo,kick1244,Algic,0.53125,32
Xârâcùù,xara1244,Austronesian,0.4,30
Sika,sika1262,Austronesian,0.625,8
Indonesian Bajau,indo1317,Austronesian,0.3541666666666667,48
Doutai,dout1240,Lakes Plain,0.16666666666666666,48
Hunzib,hunz1247,Nakh-Daghestanian,0.3541666666666667,48
Lauje,lauj1238,Austronesian,0.25,48
Ampibabo,ampi1237,Austronesian,0.25,48
Luguru,lugu1238,Atlantic-Congo,0.34782608695652173,46
Waurá,waur1244,Arawakan,0.3541666666666667,48
Dehong,deho1238,Tai-Kadai,0.5172413793103449,29
Ingrian,ingr1248,Uralic,0.3636363636363637,44
Avar,avar1256,Nakh-Daghestanian,0.3958333333333333,48
Kom (Cameroon),komc1235,Atlantic-Congo,0.35294117647058826,34
Kuot,kuot1243,NA,0.4,30
Lamogai,lamo1244,Austronesian,0.75,8
Southern Cook Island Maori,raro1241,Austronesian,0.2727272727272727,44
Yagwoia,yagw1240,Angan,0.40625,32
Seke (Vanuatu),seke1241,Austronesian,0.22916666666666663,48
Wipi,wipi1242,NA,0.7,10
Kazakh,kaza1248,Turkic,0.6551724137931034,29
Djambarrpuyngu,djam1256,Pama-Nyungan,0.4705882352941176,34
Waru,waru1266,Austronesian,0.3333333333333333,24
Northern Ojibwa,nort2961,Algic,0.5625,32
Loloda-Laba,lolo1264,North Halmahera,0.46875,32
Paama,paam1238,Austronesian,0.4230769230769231,26
Jehai,jeha1242,Austroasiatic,0.5294117647058824,17
Marathi,mara1378,Indo-European,0.5833333333333334,48
Lahnda,lahn1241,Indo-European,0.5434782608695652,46
Laurentian,laur1250,NA,0.5625,32
Nambo,namb1293,NA,0.375,32
Merei,mere1242,Austronesian,0.3333333333333333,6
Matukar,matu1261,Austronesian,0.22916666666666663,48
Jingpho,jing1260,Sino-Tibetan,0.5714285714285714,14
Yugambal,yuga1244,Pama-Nyungan,0.34782608695652173,46
Cree,cree1272,Algic,0.5625,32
Serrano,serr1255,Uto-Aztecan,0.625,40
Manange,mana1288,Sino-Tibetan,0.42105263157894735,38
Walloon,wall1255,Indo-European,0.3181818181818182,44
Kikuyu,kiku1240,Atlantic-Congo,0.3617021276595745,47
Nguna,ngun1274,Austronesian,0.325,40
Kriol (Roper River),krio1252,Indo-European,0.4666666666666667,30
Bukat,buka1261,Austronesian,0.1875,48
Maragus,mara1399,Austronesian,0.5,24
Bandjalangic,band1339,Pama-Nyungan,0.4583333333333333,48
Samoan,samo1305,Austronesian,0.2619047619047619,42
Serbian-Croatian-Bosnian,sout1528,Indo-European,0.4375,48
Tuamotuan,tuam1242,Austronesian,0.3,40
Menominee,meno1252,Algic,0.46875,32
Patani,pata1260,Austronesian,0.3125,48
Tundra Nenets,nene1249,Uralic,0.53125,32
Sougb,mani1235,NA,0.42857142857142855,28
Sie,siee1239,Austronesian,0.375,40
Bushoong,bush1247,Atlantic-Congo,0.3,40
Shi,shii1238,Atlantic-Congo,0.4047619047619048,42
Cheyenne,chey1247,Algic,0.46875,32
Dhuwal-Dhuwala,dhuw1248,Pama-Nyungan,0.3863636363636363,44
Gayo,gayo1244,Austronesian,0.4375,32
Kaurna,kaur1267,Pama-Nyungan,0.4222222222222222,45
Bamun,bamu1253,Atlantic-Congo,0.8,5
Hiw,hiww1237,Austronesian,0.3888888888888889,18
Nuclear Woleaian,nucl1479,Austronesian,0.35,40
Ritarungo,rita1239,Pama-Nyungan,0.45,40
Southern-Coastal Tsimshian,nucl1649,NA,0.2777777777777778,36
Daakie,port1286,Austronesian,0.5333333333333333,30
Varisi,vari1239,Austronesian,0.3125,32
Arosi,aros1241,Austronesian,0.380952380952381,21
Chimariko,chim1301,NA,0.30952380952380953,42
Sanapaná,sana1298,NA,0.30434782608695654,46
Sa'a,saaa1240,Austronesian,0.32142857142857145,28
Vlax Romani,vlax1238,Indo-European,0.6666666666666666,24
Kannada,nucl1305,Dravidian,0.625,32
