language,glottocode,family,correlation
Ekari,ekar1243,Nuclear Trans New Guinea,0.20576018963283244
Sawi,sawi1257,Nuclear Trans New Guinea,0.3222180052871555
Macedonian,mace1250,Indo-European,0.41470664704961097
Laiwui,laiw1239,Austronesian,0.2875856824425933
Tzeltal,tzel1254,,0.516617589762357
Old Rapa,rapa1245,Austronesian,0.39104249444681194
Southwestern Tepehuan,sout2977,Uto-Aztecan,
Wagaya,waga1260,Pama-Nyungan,0.22071759344430297
Kuanua,kuan1248,Austronesian,0.1479591433168474
Kazakh,kaza1248,Turkic,0.35468534526987894
Tsogo,tsog1243,Atlantic-Congo,0.42456969386188526
Chamalal,cham1309,Nakh-Daghestanian,0.3763626671439365
Sarangani Blaan,sara1326,Austronesian,0.338362384922285
Pacoh,paco1243,Austroasiatic,0.3017803660529143
Western Bukidnon Manobo,west2555,Austronesian,0.2520968646057773
Inxokvari,inxo1238,Nakh-Daghestanian,0.38586810056462173
Japanese,nucl1643,,0.4086483994942236
Kodava,koda1255,Dravidian,0.311037438420101
Mbyá Guaraní,mbya1239,Tupian,0.13041250266150844
Lingua Geral Paulista,tupi1274,Tupian,0.30774355675901494
Pitta Pitta,pitt1247,Pama-Nyungan,0.18623147161188808
Umpila,umpi1239,Pama-Nyungan,0.2324842090494537
East Ambae,east2443,Austronesian,0.2807011864463975
Riuk Bekati',beka1241,Austronesian,0.47535358125838634
Piegan,pieg1239,Algic,0.30314386192630893
Vera'a,vera1241,Austronesian,0.3655290878747738
Lauan,laua1243,Austronesian,0.12379857014939696
Solu-Khumbu Sherpa,sher1255,Sino-Tibetan,0.4077969871933243
Northern Emberá,nort2972,,0.40266624208176943
Northern Kurdish,nort2641,Indo-European,0.334830625236482
Jamaican Creole English,jama1262,Indo-European,0.3769723480744032
Yaka-Pelende-Lonzo,yaka1269,Atlantic-Congo,0.3236829310518871
Ding,ding1239,Atlantic-Congo,0.3752237573748938
Waropen,waro1242,Austronesian,0.348771201742775
Cahuilla,cahu1264,Uto-Aztecan,0.24206277503759233
Tübatulabal,tuba1278,Uto-Aztecan,0.3287086651633177
Mori Bawah,mori1268,Austronesian,0.3474768792008679
Irish,iris1253,Indo-European,0.34406950609363585
Kei,keii1239,Austronesian,0.6323106069415214
Ifugaw,ifug1247,Austronesian,0.356079344884297
Tikopia,tiko1237,Austronesian,0.17777194608940705
Cheke Holo,chek1238,Austronesian,0.24549133504825835
Paiwan,paiw1248,Austronesian,0.3409862082887837
Unua,unua1237,Austronesian,0.33300498018928604
Kumbainggar,kumb1268,Pama-Nyungan,0.2411422835749168
Marquesan,marq1246,Austronesian,0.2311444051626913
Huichol,huic1243,Uto-Aztecan,0.5165004508187838
Loniu,loni1238,Austronesian,0.471945418210922
Teiwa,teiw1235,,0.15328806865606628
West Kewa,west2599,Nuclear Trans New Guinea,0.24798768816812156
Iban,iban1264,Austronesian,0.39353313934797257
Mohegan-Montauk-Narragansett,mohe1244,Algic,0.2165804378713311
Yagwoia,yagw1240,Angan,0.3562955465533167
Akhvakh,akhv1239,Nakh-Daghestanian,0.41090750760347755
Portuguese,port1283,Indo-European,0.5274274757100522
English,stan1293,Indo-European,0.3451136245251239
Mortlockese,mort1237,Austronesian,0.50268515180195
Nyakyusa-Ngonde,nyak1260,Atlantic-Congo,0.26554253903713
Aklanon,akla1241,Austronesian,0.44240497632255654
Tupinambá,tupi1273,Tupian,0.29467330160001703
South Efate,sout2856,Austronesian,0.31342631297374185
Lozi,lozi1239,Atlantic-Congo,0.34746455214031735
Swedish,swed1254,Indo-European,0.35024095718184145
Nakanai,naka1262,Austronesian,0.33462566454731607
Northern Kankanay,nort2877,Austronesian,0.20087428384532477
French,stan1290,Indo-European,0.4079267857661505
Kilivila,kili1267,Austronesian,0.18297064714110076
Motu,motu1246,Austronesian,0.21240068996429637
To'abaita,toab1237,Austronesian,0.3096644648842194
Tenharim-Parintintin-Diahoi,tenh1241,Tupian,0.2707473423103027
Banjar,banj1239,Austronesian,0.4288359937402248
Paama,paam1238,Austronesian,0.4208409282222175
Biak,biak1248,Austronesian,0.2101445052994641
Northwest Sahaptin,yaki1237,,0.2672825440855631
Hano,hano1246,Austronesian,0.15141450456278063
Kimaama,kima1246,Kolopom,0.32794201378399634
Edopi,edop1238,Lakes Plain,0.212837298559556
Finnish,finn1318,Uralic,0.28184757935105453
Northern Mansi,mans1258,Uralic,0.35555495036624263
Yaka (Central African Republic),yaka1272,Atlantic-Congo,0.34911081276836486
