Name,Glottocode,Value,Subsistence_Type
Diola,ejam1238,Extensive agriculture,Agriculture
Mossi (Yatenga),moss1236,Intensive agriculture,Agriculture
Papel,pape1239,Extensive agriculture,Agriculture
Bassari,bass1258,Extensive agriculture,Agriculture
Serer,sere1260,Extensive agriculture,Agriculture
Kasonke,xaas1235,Extensive agriculture,Agriculture
Koranko,kura1250,Extensive agriculture,Agriculture
Soninke,soni1259,Extensive agriculture,Agriculture
Susu,susu1250,Extensive agriculture,Agriculture
Diula,dyul1238,Extensive agriculture,Agriculture
Nononke,jena1242,Intensive agriculture,Agriculture
Samo,sout2844,Intensive agriculture,Agriculture
Dogon,bank1259,Intensive agriculture,Agriculture
Bobo,nort2819,Extensive agriculture,Agriculture
Minianka,mama1271,Extensive agriculture,Agriculture
Senufo,ceba1235,Intensive agriculture,Agriculture
Dyan,dyan1251,Extensive agriculture,Agriculture
Dorosie,dogo1295,Extensive agriculture,Agriculture
Kulango,boun1243,Extensive agriculture,Agriculture
Lowiili,sout2790,Intensive agriculture,Agriculture
Awuna,angl1262,Extensive agriculture,Agriculture
Builsa,buli1254,Extensive agriculture,Agriculture
Dagara,sout2789,Extensive agriculture,Agriculture
Tallensi,taln1239,Intensive agriculture,Agriculture
Isala,tumu1242,Extensive agriculture,Agriculture
Kusasi,kusa1250,Intensive agriculture,Agriculture
Nunuma,sout2795,Intensive agriculture,Agriculture
Vagala,vagl1239,Extensive agriculture,Agriculture
Dagomba,dagb1246,Extensive agriculture,Agriculture
Gurma,gour1243,Extensive agriculture,Agriculture
Manprusi,mamp1244,Intensive agriculture,Agriculture
Mossi (Ouagadougou),moss1236,Extensive agriculture,Agriculture
Basari,ntch1242,Intensive agriculture,Agriculture
Kabre,kabi1261,Intensive agriculture,Agriculture
Birifor,sout2790,Extensive agriculture,Agriculture
Moba,moba1244,Extensive agriculture,Agriculture
Somba,dita1238,Extensive agriculture,Agriculture
Tem,temm1241,Intensive agriculture,Agriculture
Bisa,biss1248,Extensive agriculture,Agriculture
Yalunka,yalu1240,Extensive agriculture,Agriculture
Futajalonke,pula1262,Two or more sources,NA
Bozo,tiey1235,Fishing,Hunting and gathering
Coniagui,wame1240,Extensive agriculture,Agriculture
Malinke,kita1249,Extensive agriculture,Agriculture
Katab,kata1265,Intensive agriculture,Agriculture
Chawai,atsa1241,Extensive agriculture,Agriculture
Basa,basa1282,Extensive agriculture,Agriculture
Basakomo,basa1282,Extensive agriculture,Agriculture
Dakakari,clel1238,Extensive agriculture,Agriculture
Kamuku,cind1241,Intensive agriculture,Agriculture
Reshe,resh1242,Intensive agriculture,Agriculture
Angas,ngas1240,Intensive agriculture,Agriculture
Birom,bero1242,Extensive agriculture,Agriculture
Burmawa,bogh1241,Intensive agriculture,Agriculture
Adara,kada1284,Intensive agriculture,Agriculture
Jukun,juku1254,Extensive agriculture,Agriculture
Kagoro,kago1246,Intensive agriculture,Agriculture
Kurama,kura1249,Extensive agriculture,Agriculture
Yergum,taro1263,"Agriculture, type unknown",Agriculture
Jibu,jibu1239,"Agriculture, type unknown",Agriculture
Kentu,etky1238,"Agriculture, type unknown",Agriculture
Tigon,tigo1236,Extensive agriculture,Agriculture
Ndoro,ndoo1241,Extensive agriculture,Agriculture
Zuande,bita1251,Extensive agriculture,Agriculture
Chamba,samb1305,Extensive agriculture,Agriculture
Daka,samb1311,Extensive agriculture,Agriculture
Tiv,tivv1240,Extensive agriculture,Agriculture
Longuda,long1389,Intensive agriculture,Agriculture
Mumuye,nucl1240,Intensive agriculture,Agriculture
Vere,momj1237,Intensive agriculture,Agriculture
Yungur,bena1260,Intensive agriculture,Agriculture
Bata,bata1314,Intensive agriculture,Agriculture
Bura,bura1292,Intensive agriculture,Agriculture
Gude,gude1246,Intensive agriculture,Agriculture
Hwana,hwan1240,Intensive agriculture,Agriculture
Kapsiki,psik1239,Intensive agriculture,Agriculture
Podokwo,park1239,Intensive agriculture,Agriculture
Mambila,came1252,Intensive agriculture,Agriculture
Margi,marg1265,Intensive agriculture,Agriculture
Gure,gbir1241,Extensive agriculture,Agriculture
Mafa,mafa1239,Intensive agriculture,Agriculture
Bafute,vute1244,Extensive agriculture,Agriculture
Anaguta,igut1238,Extensive agriculture,Agriculture
