language,glottocode,family,prop,n_kintypes,data_type
Tokelau,toke1240,Austronesian,0.2916666666666667,48,veridical
Sikaiana,sika1261,Austronesian,0.16666666666666666,48,veridical
Macushi,macu1259,Cariban,0.3617021276595745,47,veridical
Isirawa,isir1237,Greater Kwerba,0.4375,48,veridical
Hindi,hind1269,Indo-European,0.6875,48,veridical
Bena (Tanzania),bena1262,Atlantic-Congo,0.4090909090909091,44,veridical
Maquiritari,maqu1238,Cariban,0.2826086956521739,46,veridical
Gujarati,guja1252,Indo-European,0.625,48,veridical
Maybrat-Karon,maib1239,Maybrat-Karon,0.2272727272727273,44,veridical
Siona-Tetete,sion1247,NA,0.3333333333333333,42,veridical
Tsonga,tson1249,Atlantic-Congo,0.3333333333333333,48,veridical
Auslan,aust1271,NA,0.3125,48,veridical
Kuku-Yalanji,kuku1273,Pama-Nyungan,0.3958333333333333,48,veridical
Māori,maor1246,Austronesian,0.3125,48,veridical
Hinuq,hinu1240,Nakh-Daghestanian,0.3958333333333333,48,veridical
Bulgarian,bulg1262,Indo-European,0.4166666666666667,48,veridical
Casiguran-Nagtipunan Agta,casi1235,Austronesian,0.20833333333333337,48,veridical
Tonsea,tons1240,Austronesian,0.3181818181818182,44,veridical
Bontok,bont1247,Austronesian,0.16666666666666666,48,veridical
Guajá,guaj1256,Tupian,0.2916666666666667,48,veridical
