x,y,z,system,system_type,system_group,data_type
mzd,fbd,1,14,3x1 fz,3x1,perfect
mzd,fbs,1,14,3x1 fz,3x1,perfect
mzs,mzd,1,14,3x1 fz,3x1,perfect
mzs,mzs,1,14,3x1 fz,3x1,perfect
mzs,mbd,1,14,3x1 fz,3x1,perfect
mzs,mbs,1,14,3x1 fz,3x1,perfect
mzs,z,0,14,3x1 fz,3x1,perfect
mzs,b,0,14,3x1 fz,3x1,perfect
mzs,fzd,0,14,3x1 fz,3x1,perfect
mzs,fzs,0,14,3x1 fz,3x1,perfect
mzs,fbd,1,14,3x1 fz,3x1,perfect
mzs,fbs,1,14,3x1 fz,3x1,perfect
mbd,mzd,1,14,3x1 fz,3x1,perfect
mbd,mzs,1,14,3x1 fz,3x1,perfect
mbd,mbd,1,14,3x1 fz,3x1,perfect
mbd,mbs,1,14,3x1 fz,3x1,perfect
mbd,z,0,14,3x1 fz,3x1,perfect
mbd,b,0,14,3x1 fz,3x1,perfect
mbd,fzd,0,14,3x1 fz,3x1,perfect
mbd,fzs,0,14,3x1 fz,3x1,perfect
mbd,fbd,1,14,3x1 fz,3x1,perfect
mbd,fbs,1,14,3x1 fz,3x1,perfect
mbs,mzd,1,14,3x1 fz,3x1,perfect
mbs,mzs,1,14,3x1 fz,3x1,perfect
mbs,mbd,1,14,3x1 fz,3x1,perfect
mbs,mbs,1,14,3x1 fz,3x1,perfect
mbs,z,0,14,3x1 fz,3x1,perfect
mbs,b,0,14,3x1 fz,3x1,perfect
mbs,fzd,0,14,3x1 fz,3x1,perfect
mbs,fzs,0,14,3x1 fz,3x1,perfect
mbs,fbd,1,14,3x1 fz,3x1,perfect
mbs,fbs,1,14,3x1 fz,3x1,perfect
z,mzd,0,14,3x1 fz,3x1,perfect
z,mzs,0,14,3x1 fz,3x1,perfect
z,mbd,0,14,3x1 fz,3x1,perfect
z,mbs,0,14,3x1 fz,3x1,perfect
z,z,0,14,3x1 fz,3x1,perfect
z,b,0,14,3x1 fz,3x1,perfect
z,fzd,0,14,3x1 fz,3x1,perfect
z,fzs,0,14,3x1 fz,3x1,perfect
z,fbd,0,14,3x1 fz,3x1,perfect
z,fbs,0,14,3x1 fz,3x1,perfect
b,mzd,0,14,3x1 fz,3x1,perfect
b,mzs,0,14,3x1 fz,3x1,perfect
b,mbd,0,14,3x1 fz,3x1,perfect
b,mbs,0,14,3x1 fz,3x1,perfect
b,z,0,14,3x1 fz,3x1,perfect
b,b,0,14,3x1 fz,3x1,perfect
b,fzd,0,14,3x1 fz,3x1,perfect
b,fzs,0,14,3x1 fz,3x1,perfect
b,fbd,0,14,3x1 fz,3x1,perfect
b,fbs,0,14,3x1 fz,3x1,perfect
