language,family,code,true_value,simulated_mean,sd,z
Kuku-Yalanji,Pama-Nyungan,kuku1273,0.779265873015873,0.7666199156746031,0.009445072011054871,1.33889475130191
Kukatja,Pama-Nyungan,kuka1246,0.7662698412698412,0.7404623015873015,0.006520078261833855,3.958164096527421
Ma'anyan,Austronesian,maan1238,0.7833333333333335,0.7804166666666668,0.008594293613558323,0.33937247176026986
Cupeño,Uto-Aztecan,cupe1243,0.8475000000000001,0.834251875,0.013170169825043489,1.0059190713553627
Ancux,Nakh-Daghestanian,ancu1238,0.8638528138528138,0.8340983766233766,0.008033176508331106,3.703944161886547
Baure,Arawakan,baur1253,0.8,0.96065,0.028118321429274548,-5.713356695351808
Tuscarora,,tusc1257,0.5589285714285714,0.5589285714285716,1.1102230246251565e-16,-1.0
Yabem,Austronesian,yabe1254,0.8432514245014243,0.8468365155677655,0.009322098747822317,-0.38457982084546016
Hoti,,yuwa1244,0.7260416666666667,0.7260416666666669,2.220446049250313e-16,-1.0
Kiput,Austronesian,kipu1237,0.65,0.771365277777778,0.019801570609217393,-6.129073302967385
Kazym-Berezover-Suryskarer Khanty,Uralic,khan1273,0.951388888888889,0.8482135416666667,0.017707904321464473,5.826513705360332
Kawi,Austronesian,kawi1241,,,,
Mosetén-Chimané,,mose1249,0.8845982142857143,0.8845982142857145,2.0873964420257313e-16,-1.0637395008182837
Nuclear Miami,Algic,nucl1653,0.5097222222222222,0.5097222222222221,1.1102230246251565e-16,1.0
Shona,Atlantic-Congo,shon1251,,,,
Loloda-Laba,North Halmahera,lolo1264,0.730952380952381,0.7309523809523809,9.621221172337122e-17,1.1539315069663538
Barok,Austronesian,baro1253,0.8,0.8200562499999999,0.02404692596648271,-0.8340463154398553
Weda,Austronesian,weda1240,0.8345170454545455,0.8060291114267677,0.010549308578144043,2.700455088288806
