language,language_family,code,simulation,predictive_structure
Kwasio,Atlantic-Congo,kwas1243,N,1.6666699999999999
Wichí Lhamtés Güisnay,,wich1264,N,2.0
Dogrib,,dogr1252,N,3.0
Iban,Austronesian,iban1264,N,1.0
Kazym-Berezover-Suryskarer Khanty,Uralic,khan1273,N,2.33334
Tuamotuan,Austronesian,tuam1242,N,3.0
Masaaba,Atlantic-Congo,masa1299,N,2.84328
Pokomo,Atlantic-Congo,poko1261,N,1.0
Slovak,Indo-European,slov1269,N,2.33333
Northern Gondi,Dravidian,nort2702,N,2.5
Urak Lawoi',Austronesian,urak1238,N,2.5
West Coast Bajau,Austronesian,west2560,N,1.3333300000000001
Lauan,Austronesian,laua1243,N,2.6466
Ignaciano,Arawakan,igna1246,N,2.5
Early Irish,Indo-European,oldi1245,N,1.33334
Namakura,Austronesian,nama1268,N,2.33334
Kalam,Nuclear Trans New Guinea,kala1397,N,2.47445
Tolaki,Austronesian,tola1247,N,0.66666
Wathawurrung,Pama-Nyungan,wath1238,N,3.0
Kazym Khanty,Uralic,nort2672,N,2.6
Ida'an,Austronesian,idaa1241,N,1.3333300000000001
Fore,Nuclear Trans New Guinea,fore1270,N,3.25
Proto-Tupi-Guarani,Tupian,tupi1239,N,3.5
Yir-Yoront,Pama-Nyungan,yiry1245,N,2.33333
Dobu,Austronesian,dobu1241,N,0.96498
Kwaio,Austronesian,kwai1243,N,2.5
Tombulu,Austronesian,tomb1243,N,2.0
Shasta,,shas1239,N,2.77362
Sula,Austronesian,sula1245,N,3.0
Quechan,,quec1382,N,1.62535
Munsee,Algic,muns1251,N,3.5
Ngamini-Yarluyandi-Karangura,Pama-Nyungan,ngam1265,N,1.75
Lisu,Sino-Tibetan,lisu1250,N,3.0
Mori Bawah,Austronesian,mori1268,N,1.3333300000000001
Port Sandwich,Austronesian,port1285,N,2.0
Thayore,Pama-Nyungan,thay1249,N,2.25
Yinhawangka,Pama-Nyungan,yinh1234,N,3.0
Tswana,Atlantic-Congo,tswa1253,N,1.0
Seke (Vanuatu),Austronesian,seke1241,N,3.18332
Navajo,,nava1243,N,2.45782
Ngulu,Atlantic-Congo,ngul1246,N,3.5288000000000004
Manam,Austronesian,mana1295,N,1.0
Sukuma,Atlantic-Congo,suku1261,N,3.0
Nyakyusa-Ngonde,Atlantic-Congo,nyak1260,N,1.7924799999999999
Shawnee,Algic,shaw1249,N,1.5
Isnag,Austronesian,isna1241,N,1.0
Chimariko,,chim1301,N,1.61408
Cusco Quechua,,cusc1236,N,2.77503
Jaru,Pama-Nyungan,jaru1254,N,2.6796800000000003
Central Tarahumara,Uto-Aztecan,cent2131,N,2.82151
Maklew,,makl1246,N,2.0
Copper Inuit,Eskimo-Aleut,copp1244,N,3.5
MokshaMordvin,Uralic,moks1248,N,3.0
Larevat,Austronesian,lare1249,N,2.0
Au,Nuclear Torricelli,auuu1241,N,2.5
Kalkutung,Pama-Nyungan,kalk1246,N,2.29248
